cfo,7 acc,13 acc,avg acc
0,100,99,99.5
8.01024e-07,100,92,96
4.40073e-06,100,95,97.5
1.38337e-05,100,87,93.5
1.60353e-05,100,94,97
2.20911e-05,100,92,96
3.19686e-05,100,85,92.5
3.53357e-05,100,87,93.5
4.03443e-05,100,89,94.5
4.52909e-05,100,85,92.5
5.30714e-05,100,83,91.5
5.33747e-05,100,79,89.5
5.94141e-05,100,80,90
6.28825e-05,100,83,91.5
6.73e-05,100,85,92.5
7.41987e-05,100,86,93
7.90241e-05,100,80,90
8.21795e-05,100,81,90.5
8.84291e-05,100,74,87
9.48777e-05,100,83,91.5
9.93928e-05,100,75,87.5
0.000107361,100,75,87.5
0.00010917,100,82,91
0.000111234,100,77,88.5
0.000116553,100,76,88
0.000119098,100,59,79.5
0.000123406,100,76,88
0.000129118,100,74,87
0.000134469,100,82,91
0.000140462,100,76,88
0.000147066,100,71,85.5
0.000151114,100,83,91.5
0.000152169,100,76,88
0.000159585,100,82,91
0.000166909,100,74,87
0.000169051,100,79,89.5
0.000172867,100,80,90
0.000175922,100,71,85.5
0.000180641,100,77,88.5
0.000187963,100,83,91.5
0.00019559,100,83,91.5
0.000196414,100,78,89
0.000206013,100,80,90
0.000213022,100,82,91
0.000221084,100,89,94.5
0.000230255,100,89,94.5
0.000230677,100,88,94
0.000240277,100,94,97
0.000250236,100,100,100
0.000260164,100,95,97.5
0.000267936,100,98,99
0.000274545,100,99,99.5
0.000275442,100,100,100
0.000277866,100,99,99.5
0.000282834,100,100,100
0.000287755,100,100,100
0.000293797,100,100,100
0.000299066,100,100,100
0.00029992,100,100,100
0.000303266,100,100,100
0.000313079,100,100,100
0.000319227,100,100,100
0.000326545,100,100,100
0.000329622,100,100,100
0.000335018,100,100,100
0.000344514,100,100,100
0.000353114,100,100,100
0.000354939,100,100,100
0.000360058,100,100,100
0.000369424,100,100,100
0.000375147,100,100,100
0.000378991,100,100,100
0.000380025,100,100,100
0.000386162,100,100,100
0.000388651,100,100,100
0.000393748,100,100,100
0.000403289,100,100,100
0.000405458,100,100,100
0.000410383,100,100,100
0.000415087,100,100,100
0.000421285,100,100,100
0.000422669,100,100,100
0.000429683,100,100,100
0.000438294,100,100,100
0.000448182,100,100,100
0.000457272,100,100,100
0.000457587,100,100,100
0.000461975,100,100,100
0.000466772,100,100,100
0.00047295,100,100,100
0.000475337,100,100,100
0.000477523,100,100,100
0.000483563,100,100,100
0.000490086,100,100,100
0.000496472,100,100,100
0.000506256,100,100,100
0.00051303,100,100,100
0.000518185,100,100,100
0.000524493,100,100,100
0.000531956,100,100,100
